31,27,31,208,187,177,125,85,73
43,40,39,191,177,152,123,97,74
156,118,101,14,9,11,52,37,36
15,13,13,1,1,1,206,173,151
31,32,40,169,161,163,63,94,106
10,14,14,128,89,67,19,25,27
146,88,51,200,202,182,30,25,20
127,113,105,17,16,25,82,71,66
164,147,134,87,60,43,28,24,23
11,8,12,180,151,125,57,44,46
147,151,157,56,62,84,215,216,215
66,29,13,156,122,99,24,21,22
5,10,5,182,149,132,46,46,48
75,104,145,43,42,50,166,175,189
35,33,36,183,169,158,94,88,91
162,140,106,66,49,33,206,188,182
178,142,113,46,30,19,253,253,253
76,42,34,186,146,133,147,111,94
239,226,232,223,202,209,88,27,37
162,135,131,23,22,45,51,44,76
131,71,65,25,24,34,169,172,188
41,31,32,196,190,197,140,104,90
21,22,38,164,101,64,98,118,153
151,113,97,231,234,239,36,28,37
5,7,22,34,30,42,160,126,121
196,176,162,209,212,215,115,75,50
27,29,33,73,70,75,173,146,125
206,177,123,100,65,62,23,24,33
139,110,93,50,35,30,225,214,208
131,114,96,27,29,45,11,13,30
158,143,148,95,20,19,21,28,48
29,34,56,165,61,81,206,202,220
62,44,53,8,8,16,207,145,127
53,41,51,132,122,119,17,18,21
17,16,12,41,50,64,127,124,134
124,114,108,57,53,54,95,68,53
124,43,40,219,174,141,169,124,95
20,20,33,89,79,79,164,145,146
132,164,203,59,52,48,95,97,102
27,23,32,203,176,154,82,132,241
51,40,36,167,156,140,215,216,213
149,142,140,56,45,52,125,91,68
104,53,56,17,16,19,191,177,173
26,21,27,201,188,192,106,65,77
85,68,76,6,6,6,10,9,38
125,87,63,24,18,11,193,169,127
16,15,19,140,119,114,17,12,11
182,142,140,53,51,80,25,31,148
127,106,103,83,62,62,161,154,156
22,17,21,70,72,88,0,0,1
139,131,129,102,79,70,15,11,16
51,45,50,97,136,183,16,19,25
23,31,52,130,63,45,184,174,173
127,83,66,202,177,152,34,30,34
151,150,156,72,95,140,65,47,40
21,16,26,75,63,69,166,155,153
193,144,113,21,33,55,38,61,100
2,3,10,11,13,30,99,70,60
18,16,20,143,146,157,65,74,106
147,127,125,3,4,8,0,0,0
183,185,189,62,60,51,120,112,93
0,0,0,3,3,2,161,123,123
101,109,172,37,34,30,190,195,231
161,118,126,40,29,38,212,197,201
197,209,207,102,107,102,51,53,60
14,15,22,110,113,115,33,35,48
175,170,163,136,102,74,74,35,16
30,34,41,182,154,135,126,102,87
36,47,69,112,124,161,191,135,98
35,19,15,44,37,42,162,99,82
141,104,99,196,174,168,40,34,39
164,173,194,45,44,62,93,110,153
76,25,23,170,145,129,141,105,92
167,120,84,182,182,176,52,49,51
203,182,172,81,62,56,91,122,183
153,148,158,10,12,15,28,28,29
172,141,140,197,193,204,71,58,67
174,113,76,92,120,156,32,29,45
18,13,19,177,170,175,156,102,87
9,10,13,182,159,138,93,65,54
128,116,117,20,18,21,65,52,50
88,63,70,178,182,190,199,206,213
136,132,123,222,224,224,28,27,31
21,23,37,68,66,71,146,141,129
53,35,25,20,13,11,167,115,91
71,7,12,133,67,53,17,5,6
130,126,130,218,197,187,68,57,59
39,30,30,192,176,166,143,96,66
61,40,23,161,177,196,176,138,48
200,148,153,9,11,30,35,30,49
42,39,50,150,115,98,179,186,192
75,90,122,32,27,41,175,175,188
89,66,50,144,108,87,29,26,22
142,99,92,217,205,200,41,49,76
48,45,48,115,116,124,13,13,18
228,216,186,34,36,40,137,102,79
32,32,45,66,106,144,156,118,106
10,6,11,133,116,109,3,2,3
17,18,25,165,140,128,93,73,61
120,86,68,1,0,6,0,0,45
156,122,116,56,39,31,20,12,9
142,162,186,30,29,24,106,84,71
70,73,81,169,153,143,69,40,32
194,193,194,93,58,49,99,173,222
230,234,247,150,120,113,55,27,59
86,51,63,15,17,34,192,176,170
83,12,15,23,5,6,164,134,100
75,65,54,201,168,144,132,119,104
28,25,29,86,70,67,8,7,5
21,20,10,77,65,38,67,76,85
189,172,160,14,14,25,71,61,64
193,189,187,103,77,67,22,24,30
82,75,80,220,211,186,19,20,26
45,44,61,228,222,207,144,118,109
179,178,177,90,48,33,9,9,11
148,106,78,238,241,239,249,250,248
79,60,54,228,220,220,172,176,187
156,129,103,206,211,207,49,52,52
59,55,60,148,132,121,6,14,38
50,84,210,29,28,37,132,147,192
55,79,53,127,144,150,10,17,19
217,200,192,32,29,37,115,92,93
89,85,88,212,172,131,245,232,212
91,105,143,47,46,67,163,169,186
101,91,86,28,29,43,9,12,29
194,168,155,21,18,21,69,61,68
198,186,178,239,239,239,75,27,47
27,32,45,184,162,149,0,0,2
175,159,134,72,43,28,141,94,62
152,137,127,27,28,34,53,65,83
59,46,36,198,158,143,99,87,79
176,159,154,23,22,23,101,86,83
87,41,18,46,30,26,195,158,141
154,95,74,95,20,24,209,173,166
33,28,87,112,93,141,22,36,151
39,55,146,180,152,140,37,31,48
191,197,218,117,107,118,53,32,43
226,231,234,149,116,113,76,43,45
87,78,87,196,165,151,22,27,59
86,96,92,129,184,197,94,168,177
212,198,201,22,19,34,151,68,64
226,209,193,254,253,249,253,252,247
47,42,43,211,192,185,112,145,183
0,2,157,205,166,139,55,36,31
123,68,35,29,23,22,219,201,188
106,154,186,108,111,114,52,40,45
19,14,19,213,210,212,125,72,65
187,209,235,118,92,81,16,13,13
242,239,235,194,136,102,110,65,42
151,142,140,33,31,33,97,89,80
82,54,38,156,168,177,33,91,136
17,16,18,206,201,193,142,117,94
82,78,83,201,167,109,219,213,202
